owner,type,kind,variant,tag,version,exact_fields,wire_value,local_validator,equality_law
ca.loci,Region,frozen-dataclass,record,ca.loci.region,1,kind|name|loci|fresh|parts|offsets|relation|templates|version,,Region.__post_init__,structural-fields
ca.loci,BoundaryPolicy,enum-member,NONE,ca.loci.boundary-policy,1,value,none,Enum.__call__,enum-member
ca.loci,BoundaryPolicy,enum-member,FIXED,ca.loci.boundary-policy,1,value,fixed,Enum.__call__,enum-member
ca.loci,BoundaryPolicy,enum-member,PERIODIC,ca.loci.boundary-policy,1,value,periodic,Enum.__call__,enum-member
ca.loci,BoundaryPolicy,enum-member,REFLECTIVE,ca.loci.boundary-policy,1,value,reflective,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,RECORD,ca.loci.carrier-kind,1,value,record,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,HISTORY,ca.loci.carrier-kind,1,value,history,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,GRID,ca.loci.carrier-kind,1,value,grid,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,WORD,ca.loci.carrier-kind,1,value,word,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,TREE,ca.loci.carrier-kind,1,value,tree,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,GRAPH,ca.loci.carrier-kind,1,value,graph,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,FIELD,ca.loci.carrier-kind,1,value,field,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,PRODUCT,ca.loci.carrier-kind,1,value,product,Enum.__call__,enum-member
ca.loci,CarrierKind,enum-member,INTENSIONAL,ca.loci.carrier-kind,1,value,intensional,Enum.__call__,enum-member
ca.loci,ConfigurationIdentityLaw,enum-member,EXACT,ca.loci.configuration-identity-law,1,value,exact,Enum.__call__,enum-member
ca.loci,ConfigurationIdentityLaw,enum-member,BOUND_FRESH_ALPHA,ca.loci.configuration-identity-law,1,value,bound-fresh-alpha,Enum.__call__,enum-member
ca.loci,CarrierContract,frozen-dataclass,record,ca.loci.carrier-contract,1,kind|rank|shape|axes|version|identity_law,,CarrierContract.__post_init__,structural-fields
ca.loci,Boundary,frozen-dataclass,record,ca.loci.boundary,1,policy|exterior|version,,Boundary.__post_init__,structural-fields
ca.loci,Carrier,frozen-dataclass,record,ca.loci.carrier,1,contract|boundary|attributes|version,,Carrier.__post_init__,structural-fields
ca.loci,StructuralRelation,frozen-dataclass,record,ca.loci.structural-relation,1,tag|arguments|version,,StructuralRelation.__post_init__,structural-fields
ca.loci,FiniteConfiguration,frozen-dataclass,record,ca.loci.finite-configuration,1,carrier|entries|structure|version,,FiniteConfiguration.__post_init__,loci.configuration_equal
ca.loci,IntensionalConfiguration,frozen-dataclass,record,ca.loci.intensional-configuration,1,contract|relation|identity_evidence|version,,IntensionalConfiguration.__post_init__,loci.configuration_equal
ca.alphabets,AlgebraicNumber,frozen-dataclass,record,ca.alphabets.algebraic-number,1,polynomial|isolating_interval|root_index|version,,AlgebraicNumber.__post_init__,alphabets.semantic_equal
ca.alphabets,ExactComplex,frozen-dataclass,record,ca.alphabets.exact-complex,1,real|imaginary|version,,ExactComplex.__post_init__,alphabets.semantic_equal
ca.alphabets,StructuralReference,frozen-dataclass,record,ca.alphabets.structural-reference,1,reference|version,,StructuralReference.__post_init__,alphabets.semantic_equal
ca.alphabets,ValueKind,enum-member,TAG,ca.alphabets.value-kind,1,value,tag,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,PRODUCT,ca.alphabets.value-kind,1,value,product,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,RECORD,ca.alphabets.value-kind,1,value,record,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,WORD,ca.alphabets.value-kind,1,value,word,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,MAP,ca.alphabets.value-kind,1,value,map,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,GRAPH,ca.alphabets.value-kind,1,value,graph,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,FIELD,ca.alphabets.value-kind,1,value,field,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,INSTRUCTION,ca.alphabets.value-kind,1,value,instruction,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,PATTERN,ca.alphabets.value-kind,1,value,pattern,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,EQUATION,ca.alphabets.value-kind,1,value,equation,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,DISTRIBUTION,ca.alphabets.value-kind,1,value,distribution,Enum.__call__,enum-member
ca.alphabets,ValueKind,enum-member,SYMBOLIC,ca.alphabets.value-kind,1,value,symbolic,Enum.__call__,enum-member
ca.alphabets,ValueNode,frozen-dataclass,record,ca.alphabets.value-node,1,kind|tag|items|fields|version,,ValueNode.__post_init__,alphabets.semantic_equal
ca.alphabets,RepresentedNumberProfile,enum-member,IEEE754_BINARY32,ca.alphabets.represented-number-profile,1,value,ieee754-binary32,Enum.__call__,enum-member
